Paper Title,Year,Venue,Research Trend Category,Input Method,Modeling/Algorithm,Application,Link
Perception-aware human-assisted navigation of mobile robots on persistent trajectories,2020,RA-L,minimizing input,Haptic,Optimization; Input Mapping,Navigation Robotics,http://rainbow-doc.irisa.fr/pdf/2020_cognetti_ral.pdf
Enhanced Human-Robot Collaboration with Intent Prediction using Deep Inverse Reinforcement Learning,2024,ICRA,improving input quality,Gesture/Hand Tracking,Reinforcement Learning,General Manipulation,https://ieeexplore.ieee.org/abstract/document/10610595
Using a collaborative robotic arm as human-machine interface: System setup and application to pose control tasks,2023,ICRA,improving input quality,Kinesthetic Control,Intent/Goal Inference,Space Robotics,https://ieeexplore.ieee.org/abstract/document/10161348
CAHSOR: Competence-Aware High-Speed Off-Road Ground Navigation in $\mathbb {SE}(3) $,2024,RA-L,improving input quality,Direct Control Interfaces,Optimization; Intent/Goal Inference,Navigation Robotics,https://ieeexplore.ieee.org/abstract/document/10670294
Autonomous robotic laparoscopic surgery for intestinal anastomosis,2022,Science Robotics,minimizing time,GUI,Supervisory; Optimization,Medical Robotics,https://www.science.org/doi/full/10.1126/scirobotics.abj2908
Follow the force: Haptic communication enhances coordination in physical human-robot interaction when humans are followers,2023,RA-L,minimizing input,Haptic,Divisible,General Manipulation,https://www.hs.mh.tum.de/fileadmin/w00bbr/nd/pdf/Liu_RAL_2023.pdf
Multi-operator control of connectivity-preserving robot swarms using supervisory control theory,2022,ICRA,maximizing output,Simulation/Dataset,Supervisory; Multi-Robot Control,Multi-Robot Systems,https://ieeexplore.ieee.org/abstract/document/9812242
A framework for learning from demonstration with minimal human effort,2020,RA-L,minimizing time,Direct Control Interfaces,Reinforcement Learning; Traded Control; Input Blending,Navigation Robotics,https://ori.ox.ac.uk/media/5599/2020icra_rigter.pdf
Autonomous and Teleoperation Control of a Drawing Robot Avatar,2024,ICRA,minimizing input,GUI,Divisible,General Manipulation,https://arxiv.org/abs/2407.20156
Learning to assist drone landings,2021,RA-L,improving input quality,Direct Control Interfaces,Reinforcement Learning; Input Blending; Generative Modelling,UAV,https://arxiv.org/abs/2011.13146
Initial task allocation in multi-human multi-robot teams: An attention-enhanced hierarchical reinforcement learning approach,2024,RA-L,minimizing time,Simulation/Dataset,Reinforcement Learning; ,Multi-Robot Systems,https://ieeexplore.ieee.org/document/10436714
A Bayesian optimization framework for the automatic tuning of MPC-based shared controllers,2024,ICRA,improving input quality,Direct Control Interfaces,Traded Control; Deep Learning; Probabilistic Modelling; Planning,Medical Robotics,https://arxiv.org/pdf/2311.01133
A novel limbs-free variable structure wheelchair based on face-computer interface (FCI) with shared control,2022,ICRA,minimizing input,Physiological Signal,Intent/Goal Inference,Assistive Robotics,https://ieeexplore.ieee.org/abstract/document/9811571
Vision-based dynamic virtual fixtures for tools collision avoidance in robotic surgery,2020,RA-L,improving input quality,Haptic,Virtual Fixtures,Medical Robotics,https://ieeexplore.ieee.org/document/8972577
Helping robots learn: a human-robot master-apprentice model using demonstrations via virtual reality teleoperation,2020,ICRA,minimizing time,VR/AR,Traded Control,General Manipulation,https://people.csail.mit.edu/delpreto/icra2020/delpreto-lipton_helping-robots-learn_icra2020.pdf
A target-guided telemanipulation architecture for assisted grasping,2022,RA-L,improving input quality,VR/AR,Traded Control,General Manipulation,https://ieeexplore.ieee.org/abstract/document/9815139
A confidence-based supervised-autonomous control strategy for robotic vaginal cuff closure,2021,ICRA,minimizing time,GUI,Traded Control,Medical Robotics,https://ieeexplore.ieee.org/abstract/document/9561685
ARROCH: Augmented reality for robots collaborating with a human,2021,ICRA,maximizing output,VR/AR; Direct Control Interfaces,Multi-Robot Control; Planning,Navigation Robotics,https://par.nsf.gov/servlets/purl/10347131
Inferring the geometric nullspace of robot skills from human demonstrations,2020,ICRA,improving input quality,Kinesthetic Control,Optimization,General Manipulation,https://yan-wu.com/wp-content/uploads/2020/05/cai2020inferring.pdf
A framework for customizable multi-user teleoperated control,2021,RA-L,minimizing input,Haptic,Divisible,Medical Robotics,https://ieeexplore.ieee.org/document/9364683
Mixed reality teleoperation assistance for direct control of humanoids,2024,RA-L,improving input quality,VR/AR,Templates,Navigation Robotics,https://ieeexplore.ieee.org/abstract/document/10380694
A control approach for human-robot ergonomic payload lifting,2023,ICRA,improving input quality,Kinesthetic Control; Gesture/Hand Tracking,Optimization,HRC,https://arxiv.org/pdf/2305.08499
Task-based role adaptation for human-robot cooperative object handling,2021,RA-L,improving input quality,Kinesthetic Control,Compliance Control; Optimization,HRC,https://ieeexplore.ieee.org/abstract/document/9372776
Enhanced teleoperation using autocomplete,2020,ICRA,minimizing time,Direct Control Interfaces,Classical ML,UAV,
Reconfigurable constraint-based reactive framework for assistive robotics with adaptable levels of autonomy,2021,RA-L,improving input quality,Direct Control Interfaces,Imitation Learning; Probabilistic Graphical Model; Virtual Fixtures,Assistive Robotics,
